label,text
PAYMENT,"The Company may apply any payment received from the Customer first to outstanding interest, then to the oldest outstanding invoice, and finally to the most recent invoice."
PAYMENT,"Should the Customer fail to make any payment on the due date, the Company may charge a recovery fee of two percent (2%) of the overdue amount."
PAYMENT,"The Company shall issue tax invoices in compliance with the GST Act 1999 (Cth) or other applicable legislation in the Customer's jurisdiction."
PAYMENT,"The Customer shall provide accurate billing information and notify the Company promptly of any changes to its registered address or tax identification number."
PAYMENT,"Annual prepayments are subject to a five percent (5%) discount on the relevant subscription fee, payable in full at the start of each Subscription Year."
PAYMENT,"Where payment is made by cheque, the Customer's payment obligation is satisfied only when the cheque clears in the Company's bank account."
PAYMENT,"The Customer shall procure that any payments from third parties on its behalf clearly reference the relevant invoice number and Customer account."
PAYMENT,"On termination of this Agreement, any unpaid fees for the remainder of the then-current term shall become immediately due and payable to the Company."
PAYMENT,"The Customer shall make payment without any deduction, abatement, set-off, counterclaim, or withholding for taxes except as required by law."
PAYMENT,"Where the Customer is required by law to withhold tax from any payment, the Customer shall gross up such payment so that the Company receives the full invoiced amount."
PAYMENT,"Fees for usage exceeding the agreed monthly allowance shall be billed at the overage rate set out in the Order Form and payable on the next invoice cycle."
CONFIDENTIALITY,"Each party shall maintain the confidentiality of the other party's Confidential Information using at least reasonable care, and shall not disclose such information to any third party without prior written consent."
CONFIDENTIALITY,"The receiving party shall use the disclosing party's Confidential Information solely for the purpose of performing its obligations under this Agreement."
CONFIDENTIALITY,"Confidential Information does not include information that is or becomes publicly available through no fault of the receiving party, or that was known to the receiving party prior to disclosure."
CONFIDENTIALITY,"Either party may disclose Confidential Information as required by law, provided that the disclosing party gives prompt written notice and cooperates in seeking a protective order."
CONFIDENTIALITY,"All proprietary information, trade secrets, and non-public business information disclosed under this Agreement shall be treated as Confidential Information for a period of five (5) years."
CONFIDENTIALITY,"The non-disclosure obligations in this clause shall survive termination of this Agreement for so long as the relevant information remains confidential."
CONFIDENTIALITY,"Neither party shall, during the term of this Agreement or for a period of three (3) years thereafter, disclose any Confidential Information of the other to any third party."
CONFIDENTIALITY,"The receiving party shall restrict access to the disclosing party's Confidential Information to those of its personnel who reasonably need access for the purposes of this Agreement."
CONFIDENTIALITY,"The receiving party shall not copy, reproduce, or extract any Confidential Information except to the extent strictly necessary to perform its obligations under this Agreement."
CONFIDENTIALITY,"All Confidential Information remains the property of the disclosing party, and no licence or right is granted in respect of such information except as expressly set out in this Agreement."
CONFIDENTIALITY,"The receiving party shall ensure that its personnel are bound by written confidentiality obligations no less protective than those set out in this Agreement."
CONFIDENTIALITY,"On termination of this Agreement, the receiving party shall promptly return or destroy all Confidential Information of the disclosing party, retaining no copies except as required by law."
CONFIDENTIALITY,"The receiving party shall notify the disclosing party in writing without undue delay upon becoming aware of any actual or suspected unauthorised disclosure of Confidential Information."
CONFIDENTIALITY,"Information disclosed orally or visually shall be treated as confidential only if identified as such at the time of disclosure and confirmed in writing within ten (10) Business Days."
CONFIDENTIALITY,"The obligations of confidentiality shall not apply to information that the receiving party can demonstrate was independently developed without reference to the Confidential Information."
CONFIDENTIALITY,"Each party agrees that monetary damages may be inadequate for any breach of this confidentiality clause, and the disclosing party may seek injunctive relief in any court of competent jurisdiction."
CONFIDENTIALITY,"The receiving party shall implement reasonable technical and organisational measures to safeguard the Confidential Information against accidental loss, unauthorised access, or disclosure."
CONFIDENTIALITY,"Each party may disclose the existence and general nature of this Agreement to its professional advisers, provided that such advisers are bound by confidentiality obligations."
CONFIDENTIALITY,"Confidential Information may be aggregated and anonymised in a manner that does not identify the disclosing party for the purposes of internal analytics and benchmarking."
CONFIDENTIALITY,"Subject to applicable law, the receiving party shall promptly notify the disclosing party of any compelled disclosure and cooperate in seeking confidential treatment of the information."
CONFIDENTIALITY,"The disclosing party shall remain solely responsible for marking, identifying, and labelling its Confidential Information at the time of disclosure to the receiving party."
CONFIDENTIALITY,"Confidential Information includes, without limitation, technical know-how, source code, business plans, customer lists, pricing data, and product roadmaps of the disclosing party."
CONFIDENTIALITY,"Nothing in this clause restricts a party from using residual knowledge retained unaided in the memory of its personnel, provided no Confidential Information is intentionally retained."
CONFIDENTIALITY,"The receiving party shall not use the disclosing party's Confidential Information to reverse engineer, develop competing products, or otherwise benefit any third party."
CONFIDENTIALITY,"Each party warrants that it has the right to disclose any information shared with the other party and that such disclosure does not breach any third-party rights."
CONFIDENTIALITY,"Each party shall keep accurate records of all personnel having access to Confidential Information and shall make those records available to the disclosing party on reasonable request."
CONFIDENTIALITY,"The receiving party shall not use the disclosing party's name, logo, or trade marks in any publicity, marketing, or press release without the disclosing party's prior written consent."
CONFIDENTIALITY,"The receiving party shall return Confidential Information within ten (10) Business Days of a written request from the disclosing party, together with written confirmation of destruction."
CONFIDENTIALITY,"Confidentiality obligations shall continue indefinitely with respect to information that constitutes a trade secret under applicable law, notwithstanding any earlier expiry of this Agreement."
CONFIDENTIALITY,"Each party acknowledges that the unauthorised disclosure of Confidential Information may cause irreparable harm for which monetary damages would be inadequate, and equitable relief shall be available."
CONFIDENTIALITY,"The receiving party shall maintain Confidential Information in encrypted form when at rest and during transmission over public networks, using industry-standard cryptographic protocols."
CONFIDENTIALITY,"The parties shall execute any further non-disclosure agreements reasonably required by either party in connection with specific projects undertaken under this Agreement."
CONFIDENTIALITY,"The disclosing party warrants that it has obtained all necessary consents to share Confidential Information that includes personal data of identifiable individuals with the receiving party."
CONFIDENTIALITY,"Each party shall conduct an exit interview with any personnel leaving its employ to remind them of their continuing confidentiality obligations under this Agreement."
CONFIDENTIALITY,"Disclosure of Confidential Information to permitted sub-contractors shall be on a need-to-know basis and subject to written confidentiality obligations binding the sub-contractor."
CONFIDENTIALITY,"The confidentiality obligations in this Agreement supersede any prior non-disclosure agreements between the parties relating to the same subject matter."
CONFIDENTIALITY,"Each party shall maintain a register of all third parties to whom Confidential Information has been disclosed under this Agreement and the date of each such disclosure."
INDEMNIFICATION,"The Customer agrees to indemnify, defend, and hold harmless the Company from and against any and all claims, damages, liabilities, costs, and expenses arising out of the Customer's use of the services in violation of this Agreement."
INDEMNIFICATION,"The Company shall indemnify the Customer for losses arising from any third-party claim that the services as delivered infringe a registered patent or copyright in the territory."
INDEMNIFICATION,"The indemnifying party shall have sole control of the defence and settlement of any indemnified claim, provided that the indemnitee is not required to admit liability without consent."
INDEMNIFICATION,"Each party shall hold harmless the other from claims brought by third parties to the extent caused by the indemnitor's negligence or wilful misconduct."
INDEMNIFICATION,"The indemnitor's obligations under this clause are conditional on the indemnitee giving prompt written notice of the claim and providing reasonable cooperation."
INDEMNIFICATION,"This indemnification covers reasonable attorneys' fees and court costs incurred by the indemnitee in defending the relevant third-party claim."
INTELLECTUAL_PROPERTY,"All intellectual property rights in the services, including any improvements, modifications, or derivative works, shall remain the sole and exclusive property of the Company."
INTELLECTUAL_PROPERTY,"The Customer hereby grants the Company a perpetual, royalty-free licence to use any feedback, suggestions, or ideas provided by the Customer in connection with the services."
INTELLECTUAL_PROPERTY,"Any work product created by the Company specifically for the Customer under this Agreement shall be deemed a work for hire and owned by the Customer upon full payment."
INTELLECTUAL_PROPERTY,"Nothing in this Agreement transfers ownership of any patents, copyrights, trademarks, or trade secrets between the parties except as expressly set forth herein."
INTELLECTUAL_PROPERTY,"The Customer shall not reverse engineer, decompile, or disassemble the software, except to the extent such restriction is prohibited by applicable law."
INTELLECTUAL_PROPERTY,"All moral rights in any deliverables are hereby waived to the extent permitted by law and assigned to the Customer along with all other intellectual property rights."
GOVERNING_LAW,"This Agreement shall be governed by and construed in accordance with the laws of the State of Delaware, without regard to its conflict of laws principles."
GOVERNING_LAW,"The parties hereby submit to the exclusive jurisdiction of the courts of England and Wales for any dispute arising out of or in connection with this Agreement."
GOVERNING_LAW,"This Agreement is governed by the laws of the Republic of India, and any proceedings shall be brought in the competent courts located in Mumbai."
GOVERNING_LAW,"The validity, interpretation, and performance of this Agreement shall be governed by Australian federal law and the laws of New South Wales."
GOVERNING_LAW,"Each party irrevocably consents to the exclusive jurisdiction of the federal and state courts located in San Francisco, California for the resolution of disputes."
GOVERNING_LAW,"The governing law of this Agreement shall be the law of Singapore, and the seat of arbitration shall be Singapore unless otherwise agreed in writing."
DISPUTE_RESOLUTION,"Any dispute, controversy, or claim arising out of this Agreement shall be finally resolved by binding arbitration administered by the International Chamber of Commerce under its rules of arbitration."
DISPUTE_RESOLUTION,"The parties shall first attempt in good faith to resolve any dispute through informal mediation before initiating any formal proceedings."
DISPUTE_RESOLUTION,"Each party irrevocably waives any right to a jury trial in any action or proceeding arising out of this Agreement."
DISPUTE_RESOLUTION,"Disputes shall be referred to a panel of three arbitrators, one appointed by each party and the third selected by the two appointees, with the seat of arbitration in London."
DISPUTE_RESOLUTION,"Any claim must be brought within one year of the cause of action accruing, failing which the claim shall be permanently barred."
DISPUTE_RESOLUTION,"The prevailing party in any litigation or arbitration shall be entitled to recover reasonable attorneys' fees and costs from the other party."
DISPUTE_RESOLUTION,"Any dispute arising out of or in connection with this Agreement shall be referred to the senior management of each party for resolution before any formal proceedings are commenced."
DISPUTE_RESOLUTION,"The parties agree to attempt to resolve any dispute through good-faith negotiations for a period of thirty (30) days before resorting to mediation or arbitration."
DISPUTE_RESOLUTION,"Disputes that cannot be resolved through negotiation shall be referred to mediation administered by the Australian Centre for International Commercial Arbitration."
DISPUTE_RESOLUTION,"The seat of arbitration shall be Singapore, the language of arbitration shall be English, and the rules of the Singapore International Arbitration Centre shall apply."
DISPUTE_RESOLUTION,"Each party shall bear its own costs in connection with any mediation, and the parties shall share the mediator's fees equally between them."
DISPUTE_RESOLUTION,"The award of the arbitrator shall be final and binding on the parties and may be enforced in any court of competent jurisdiction."
DISPUTE_RESOLUTION,"Notwithstanding any other provision, either party may seek interim or injunctive relief from any court of competent jurisdiction to protect its rights pending arbitration."
DISPUTE_RESOLUTION,"Any claim arising from or related to this Agreement must be brought within two (2) years from the date the cause of action accrued, otherwise the claim is barred."
DISPUTE_RESOLUTION,"The parties expressly exclude the application of the United Nations Convention on Contracts for the International Sale of Goods to this Agreement and any related disputes."
DISPUTE_RESOLUTION,"Each party waives, to the maximum extent permitted by law, any right to participate in a class action or class arbitration against the other party arising from this Agreement."
DISPUTE_RESOLUTION,"Disputes shall be referred to a single arbitrator selected by mutual agreement of the parties or, failing agreement within fifteen (15) days, appointed by the relevant arbitration institution."
DISPUTE_RESOLUTION,"All proceedings, evidence, and the arbitration award shall be confidential, except as required for enforcement of the award or as required by applicable law."
DISPUTE_RESOLUTION,"The arbitrator shall have the power to grant any remedy or relief that would be available in court, including specific performance and injunctive relief."
DISPUTE_RESOLUTION,"Each party submits to the non-exclusive jurisdiction of the courts of New South Wales for any matters not subject to arbitration under this Agreement."
DISPUTE_RESOLUTION,"Disputes involving intellectual property rights are expressly excluded from the arbitration clause and shall be resolved in the courts having jurisdiction over the relevant intellectual property."
DISPUTE_RESOLUTION,"The parties agree to engage in expert determination for any technical disputes regarding the interpretation or application of service-level commitments."
DISPUTE_RESOLUTION,"Should any party fail to comply with an arbitration award within thirty (30) days, the other party may apply to any court of competent jurisdiction for enforcement of the award."
DISPUTE_RESOLUTION,"The prevailing party in any arbitration or litigation shall be entitled to recover its reasonable legal costs, disbursements, and expert fees from the unsuccessful party."
DISPUTE_RESOLUTION,"Any escalation under this clause shall be conducted in good faith, with each party making reasonable efforts to schedule meetings and exchange relevant information promptly."
DISPUTE_RESOLUTION,"The parties shall continue to perform their respective obligations under this Agreement during the pendency of any dispute resolution proceedings, except as ordered otherwise by a court or arbitrator."
DISPUTE_RESOLUTION,"The parties consent to the personal jurisdiction of and venue in the federal and state courts located in the City of London for any non-arbitrable disputes arising under this Agreement."
DISPUTE_RESOLUTION,"Each party irrevocably consents to the service of process by registered post at the address specified in this Agreement, in addition to any other method permitted by law."
DISPUTE_RESOLUTION,"Notwithstanding the dispute resolution procedure, either party may seek emergency interim relief from any court of competent jurisdiction without first attempting negotiation or mediation."
DISPUTE_RESOLUTION,"The arbitrator may award pre-judgment and post-judgment interest on any sums due under the award at a rate consistent with the parties' contractual terms."
DISPUTE_RESOLUTION,"Disputes regarding the validity, scope, or enforceability of this arbitration clause shall be determined by the arbitrator, not by any court of competent jurisdiction."
DISPUTE_RESOLUTION,"The parties agree that any arbitration proceedings shall be consolidated with any related arbitration involving substantially the same parties and issues, where reasonably practicable."
DISPUTE_RESOLUTION,"Either party may apply for summary disposition of any claim that, in the arbitrator's view, has no reasonable prospect of success on the merits."
DISPUTE_RESOLUTION,"The arbitrator may, in their discretion, order document discovery and witness examinations consistent with international arbitration best practice."
DISPUTE_RESOLUTION,"Each party warrants that it has obtained any necessary corporate or regulatory approvals to enter into and perform under this dispute resolution clause."
DISPUTE_RESOLUTION,"Class arbitration is expressly prohibited under this Agreement, and the arbitrator shall have no authority to consolidate the claims of multiple parties without the mutual written consent of all affected parties."
DEFINITIONS,"For purposes of this Agreement, the following capitalised terms shall have the meanings set out below."
DEFINITIONS,"\"Affiliate\" means any entity that directly or indirectly controls, is controlled by, or is under common control with a party, where control means ownership of more than fifty percent (50%) of the voting securities."
DEFINITIONS,"\"Confidential Information\" shall mean any non-public information disclosed by one party to the other, whether marked confidential or not, that a reasonable person would understand to be confidential."
DEFINITIONS,"In this Agreement, words importing the singular include the plural and vice versa, and references to any gender include all genders."
DEFINITIONS,"\"Effective Date\" means the date last signed below by an authorised representative of each party."
DEFINITIONS,"References to a statute or statutory provision include any subordinate legislation made under that statute and any modification or re-enactment thereof."
DEFINITIONS,"\"Business Day\" means any day other than a Saturday, Sunday, or public holiday in the jurisdiction of the principal place of business of the Company."
DEFINITIONS,"\"Services\" means the services described in the relevant Order Form, including any updates, enhancements, or modifications agreed in writing by the parties."
DEFINITIONS,"\"Order Form\" means a document signed by both parties that sets out the specific scope, fees, term, and any project-specific terms applicable to a particular engagement."
DEFINITIONS,"\"Documentation\" means the technical and user documentation made generally available by the Company for the Services, as updated from time to time."
DEFINITIONS,"\"Personal Data\" has the meaning given in the General Data Protection Regulation (EU) 2016/679 and any analogous local privacy legislation applicable to the parties."
DEFINITIONS,"\"Subscription Period\" means the period commencing on the Subscription Start Date and continuing for the duration set out in the relevant Order Form."
DEFINITIONS,"Words importing the masculine gender include the feminine and neuter genders, and words importing persons include corporations and unincorporated associations."
DEFINITIONS,"References to a statute include any subordinate legislation, regulations, and codes of practice issued under or in connection with that statute."
DEFINITIONS,"Headings in this Agreement are inserted for convenience only and shall not affect the construction or interpretation of any provision of this Agreement."
DEFINITIONS,"The words including and in particular shall be construed without limitation, and the words following them shall not limit the meaning of the words preceding them."
DEFINITIONS,"\"Authorised User\" means an employee, contractor, or agent of the Customer who has been granted access credentials to use the Services in accordance with this Agreement."
DEFINITIONS,"\"Intellectual Property Rights\" means all patents, copyrights, trade marks, designs, know-how, trade secrets, database rights, and other proprietary rights, whether registered or unregistered."
DEFINITIONS,"\"Working Hours\" means the hours between 9:00 am and 5:00 pm local time on a Business Day in the relevant jurisdiction."
DEFINITIONS,"\"Term\" means the period commencing on the Effective Date and continuing until the expiry or earlier termination of this Agreement in accordance with its terms."
DEFINITIONS,"\"Force Majeure Event\" means any event beyond the reasonable control of a party, including acts of God, war, terrorism, pandemic, government action, and infrastructure failures."
DEFINITIONS,"The schedules to this Agreement form an integral part of this Agreement and have the same force and effect as if set out in the body of this Agreement."
DEFINITIONS,"\"Group\" means, in relation to a party, that party and any entity controlled by, controlling, or under common control with that party from time to time."
DEFINITIONS,"References to writing or written include facsimile, email, and any other digital form unless otherwise stated."
DEFINITIONS,"\"Working Day\" has the same meaning as Business Day; the two terms may be used interchangeably throughout this Agreement."
DEFINITIONS,"\"Subscription Fee\" means the recurring fee payable by the Customer for the Services as set out in the relevant Order Form."
DEFINITIONS,"\"Permitted Purpose\" means the use of the Services by Authorised Users for the Customer's internal business purposes in accordance with this Agreement."
DEFINITIONS,"\"Material Breach\" means any breach of this Agreement that goes to the root of the contract or that materially deprives the non-breaching party of the benefit of this Agreement."
DEFINITIONS,"\"Affiliate\" means any entity that, directly or indirectly, controls, is controlled by, or is under common control with a party, where control means ownership of more than fifty percent (50%) of the voting interests."
DEFINITIONS,"Words denoting the singular include the plural and vice versa, and a reference to a clause is a reference to a clause of this Agreement unless stated otherwise."
DEFINITIONS,"\"Effective Date\" means the date on which the last party signs this Agreement, as indicated in the signature block of this Agreement."
DEFINITIONS,"\"Service Levels\" means the service-level commitments set out in Schedule A, as updated from time to time by mutual written agreement of the parties."
DEFINITIONS,"\"Confidential Information\" means any information disclosed by one party to the other under this Agreement that is marked or identified as confidential or that would reasonably be considered confidential under the circumstances."
DEFINITIONS,"\"Applicable Law\" means any law, regulation, code, judgment, or order applicable to a party in connection with this Agreement, including data protection and consumer protection laws."
DEFINITIONS,"\"Output\" means any results, deliverables, or reports produced by the Services in response to inputs provided by the Customer or its Authorised Users."
DEFINITIONS,"In this Agreement, a reference to $ or dollars means Australian dollars, unless the context clearly requires otherwise."
DEFINITIONS,"\"Force Majeure\" excludes any event arising from a party's own negligence, financial inability to perform, or failure to maintain adequate business-continuity arrangements."
RENEWAL,"This Agreement shall automatically renew for successive one-year terms unless either party gives written notice of non-renewal at least thirty (30) days before the end of the then-current term."
RENEWAL,"The Initial Term shall commence on the Effective Date and continue for twelve months, after which it shall be renewed for successive twelve-month renewal terms."
RENEWAL,"At the end of each Subscription Period, this Agreement will renew automatically for an additional Subscription Period of equal length unless terminated in accordance with this section."
RENEWAL,"Either party may prevent automatic renewal by providing written notice no less than sixty (60) days prior to the expiration of the then-current term."
RENEWAL,"Upon each renewal, the fees shall be those listed in the Company's then-current price list, subject to a maximum annual increase of seven percent (7%)."
RENEWAL,"This Agreement shall remain in force for an Initial Term of two (2) years and shall thereafter renew on a year-to-year basis."
RENEWAL,"The Subscription Term shall automatically renew for successive periods of equal length to the Initial Term, unless terminated by either party in accordance with this clause."
RENEWAL,"Notice of non-renewal must be given in writing and received by the other party at least sixty (60) days prior to the end of the then-current term to be effective."
RENEWAL,"Renewal terms shall be on the same terms and conditions as the then-current term, except that the Subscription Fee may be increased at the rate specified in the relevant Order Form."
RENEWAL,"On each renewal, the Company may increase the Subscription Fee by up to the higher of five percent (5%) or the change in the relevant Consumer Price Index over the prior twelve months."
RENEWAL,"The Customer may elect to convert any annual subscription into a multi-year subscription upon renewal, subject to the Company's then-current multi-year pricing."
RENEWAL,"Renewal of this Agreement shall not require any further act by either party, and continued use of the Services following the renewal date constitutes acceptance of the renewal terms."
RENEWAL,"Either party may opt out of automatic renewal by sending written notice via email to the contact addresses specified in this Agreement."
RENEWAL,"Renewals are effective from 12:01 am on the day immediately following the expiration of the then-current term, with no break in service or access to the platform."
RENEWAL,"Upon renewal, the Customer's existing user accounts, configurations, and data shall be preserved without interruption to the Services."
RENEWAL,"The Company shall send a renewal reminder to the Customer at least ninety (90) days before the end of the then-current term, but failure to send such reminder does not affect renewal."
RENEWAL,"Renewals shall not be deemed to constitute a new contract, but rather a continuation of the existing Agreement for the renewal term."
RENEWAL,"The fees applicable to any renewal term shall be those set out in the renewal notice issued by the Company at least sixty (60) days before renewal."
RENEWAL,"Where the Customer has prepaid for the then-current term, the renewal term shall be invoiced on or about the renewal date and payable in accordance with the standard payment terms."
RENEWAL,"The parties may, by mutual written agreement, vary the terms of any renewal, including pricing, scope, and service-level commitments."
RENEWAL,"Automatic renewal shall not apply where this Agreement has been terminated for cause prior to the renewal date, irrespective of any notice given."
RENEWAL,"The Customer shall be entitled to a refund of prepaid fees corresponding to the unused portion of any renewal term cancelled within thirty (30) days of the renewal date."
RENEWAL,"The Initial Term is twelve (12) months from the Effective Date, after which this Agreement shall renew on a month-to-month basis until terminated by either party."
RENEWAL,"Either party may give notice of non-renewal at any time during the then-current term, with the non-renewal taking effect at the end of that term."
RENEWAL,"If the Customer adds Authorised Users or services during a renewal term, the additional fees shall be pro-rated and added to the next renewal invoice."
RENEWAL,"Renewal shall be subject to the Customer's compliance with all material terms of this Agreement during the immediately preceding term."
RENEWAL,"The Company reserves the right to discontinue any Service on renewal by giving the Customer at least ninety (90) days prior written notice, in which case the renewal shall not include that Service."
RENEWAL,"Renewal terms shall be governed by the laws of the jurisdiction specified in this Agreement, regardless of any change in the parties' places of business during the renewal term."
RENEWAL,"Either party's failure to invoice or pay during a renewal term shall not be deemed a waiver of the renewal itself, but may be remedied by good-faith negotiation between the parties."
RENEWAL,"The Customer acknowledges that the auto-renewal provision is a material term of this Agreement and is required for the Company to provide the Services at the agreed price."
RENEWAL,"The parties may, by written agreement signed by both, convert this Agreement from auto-renewal to a fixed-term contract at any time during the Initial Term."
RENEWAL,"Where multiple Order Forms exist under this Agreement, each Order Form may have its own renewal date and notice period as specified in that Order Form."
RENEWAL,"On renewal, the Customer may elect to downgrade or upgrade its subscription plan in accordance with the Company's then-current plans and pricing."
RENEWAL,"The Company shall not be obliged to renew this Agreement if the Customer's account is subject to an unresolved billing dispute as at the end of the then-current term."
RENEWAL,"The Customer's right to terminate for convenience during the Initial Term does not extend to renewal terms, which may only be terminated in accordance with this clause."
RENEWAL,"Renewal of this Agreement shall constitute the Customer's continued acceptance of the Company's most recent published Privacy Policy and Acceptable Use Policy."
WARRANTY,"The services are provided on an \"as is\" and \"as available\" basis, without warranties of any kind, whether express, implied, or statutory."
WARRANTY,"The Company expressly disclaims all implied warranties, including warranties of merchantability, fitness for a particular purpose, and non-infringement."
WARRANTY,"The Company warrants that the services will perform substantially in accordance with the documentation for a period of ninety (90) days following delivery."
WARRANTY,"No warranty is made regarding the accuracy, reliability, or availability of any third-party content or services made accessible through the Company's platform."
WARRANTY,"In the event of breach of warranty, the Customer's sole and exclusive remedy is repair or replacement of the non-conforming services at the Company's option."
WARRANTY,"The Company makes no representations or warranties that the services will meet the Customer's requirements or that operation of the services will be uninterrupted or error-free."
OTHER,"This Agreement constitutes the entire understanding between the parties and supersedes all prior negotiations, representations, and agreements relating to the subject matter."
OTHER,"No waiver of any provision of this Agreement shall be effective unless made in writing and signed by an authorised representative of the party granting the waiver."
OTHER,"If any provision of this Agreement is held to be invalid or unenforceable, the remaining provisions shall continue in full force and effect."
OTHER,"This Agreement may be executed in any number of counterparts, each of which shall be deemed an original and all of which together shall constitute one instrument."
OTHER,"Neither party may assign or transfer its rights or obligations under this Agreement without the prior written consent of the other party, which shall not be unreasonably withheld."
OTHER,"All notices required under this Agreement shall be in writing and delivered to the addresses set out in the signature block, or such other address as a party may designate by notice."
